,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,hometown,new school, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), dporpag, stops, bpm, obpm, dbpm,New Conf
1,Kevin Osawe,Little Rock,SB,19,42.4,92.1,17,37,41.57,4.8,14.8,8.6,7.4,22,28,0.786,23,54,0.426,0.3,0.8,23.5,Jr,7-Jun,20,0.249662,2022,73711,"Toronto, ON",NJIT,1.666544455,12,24,11,30,0.5,0.366666667,1,1,1,1.04398,0,-5.1016,-1.93856,-3.16304,AE
2,Skyelar Potter,Morehead St.,OVC,31,71.9,104.1,19.4,50.2,53.84,4.5,15.6,9.8,16.8,57,74,0.77,55,106,0.519,0.1,1.5,28.2,Jr,3-Jun,5,1.71403,2022,66648,"Bowling Green, KY",Jacksonville St.,1.14001088,43,70,12,36,0.614285714,0.333333333,12,17,0.705882353,2.68247,0,-0.20414,0.0445786,-0.248719,ASun
3,EJ Harkless,Oklahoma,B12,26,53,92.5,21.9,49.3,51.27,3.6,14.3,12.1,21.3,37,58,0.638,64,128,0.5,0.6,2.8,25.6,Sr,3-Jun,55,1.50868,2022,66255,"San Bernardino, CA",UNLV,0.77586516,44,81,20,47,0.543209877,0.425531915,3,3,1,3.47482,0,2.23487,0.375331,1.85953,MWC
4,Tae Hardy,Southern Miss,CUSA,6,11.4,104.7,23.4,53.2,58.9,1.6,8.9,12.9,17.6,16,19,0.842,16,30,0.533,0.8,4.1,40.4,Jr,3-Jun,10,1.81466,2022,66552,"Ellenwood, GA",UTEP,1,6,9,10,21,0.666666667,0.476190476,0,0,0,1.50851,0,3.66716,1.6807,1.98647,CUSA
5,Oscar Berry,Fairleigh Dickinson,NEC,22,42.8,120.7,13.7,61.4,62.27,1.5,8.9,13.1,13,13,19,0.684,18,34,0.529,0.5,1.8,18.1,Fr,4-Jun,24,1.40412,2022,74994,"Melbourne, Australia",North Florida,2.071338781,10,10,8,24,1,0.333333333,0,0,0,0.616263,0,-2.19443,-0.140322,-2.05411,ASun
6,Michael Henn,Denver,Sum,30,63,109.2,19.6,55.3,57.67,5.6,16.1,14,16.8,37,49,0.755,67,126,0.532,0.6,0.8,22.7,Sr,8-Jun,24,1.61492,2022,46366,"Bellevue, WA",Penn St.,1.239095652,50,78,17,48,0.641025641,0.354166667,1,1,1,1.3392,0,-1.49359,0.580493,-2.07409,B10
7,Rocket Watts,Mississippi St.,SEC,19,18.5,90.6,18.9,47.6,49.19,1.4,6.6,8.7,22.3,5,5,1,21,37,0.568,0,1.7,6.1,Jr,2-Jun,0,0.377015,2022,70639,"Detroit, MI",Oakland,0.611040743,10,11,11,26,0.909090909,0.423076923,0,0,0,1.26198,0,-3.12263,-2.09177,-1.03086,Horz
8,Stephane Ingo,Maine,AE,16,38.8,96.5,17.8,47.7,51.01,8.8,18.6,6.3,17.7,29,48,0.604,38,74,0.514,10.5,1.9,55.8,Jr,9-Jun,10,0.498939,2022,66507,"Mississauga, ON",Marist,0.565230246,27,43,11,31,0.627906977,0.35483871,9,10,0.9,1.76614,0,-2.85088,-3.141,0.290119,MAAC
9,Armon Harried,Canisius,MAAC,31,74.9,88.9,23,39,42.56,4,13.6,10.2,11.3,74,121,0.612,91,241,0.378,2.2,1.8,34.7,Jr,5-Jun,11,0.657175,2022,70746,"Baltimore, MD",Binghamton,1.065182609,53,121,38,120,0.438016529,0.316666667,12,13,0.923076923,2.3419,0,-2.59063,-1.71389,-0.876744,AE
10,Brandon Suggs,East Carolina,Amer,24,58.8,98.3,20.5,44.4,52.64,3.4,12.2,18.3,20.7,83,107,0.776,62,135,0.459,2.3,2.9,59.4,So,6-Jun,4,1.57475,2022,71623,"Powder Springs, GA",UCF,1.192273965,49,98,12,36,0.5,0.333333333,3,3,1,2.60944,0,0.576845,-0.563807,1.14065,Amer
